English,Japanese,Industry,TSE,Exchange,Source
Adtec Plasma Technology Co. Ltd.,,Networking,6668,XTKS,1WSJ
Advan Group Co. Ltd.,,Wholesalers,7463,XTKS,1WSJ
Advance Create Co. Ltd.,,Full-Line Insurance,8798,XTKS,1WSJ
Advance Residence Investment Corp.,,Residential REITs,3269,XTKS,1WSJ
Advanced Media Inc.,,Software,3773,XTKS,1WSJ
Advanex Inc.,,Industrial Products,5998,XTKS,1WSJ
Advantage Risk Management Co. Ltd.,,Employment/Training Services,8769,XTKS,1WSJ
Advantest,株式会社アドバンテスト,,6857,,2WIKI
Adventure Inc.,,Tourism,6030,XTKS,1WSJ
Adways Inc.,,Advertising/Marketing/Public Relations,2489,XTKS,1WSJ
Aeon Co. Ltd.,,Mixed Retailing,8267,XTKS,1WSJ
Aeon Delight Co. Ltd.,,Diversified Business Services,9787,XTKS,1WSJ
Aeon Fantasy Co. Ltd.,,Recreational Services,4343,XTKS,1WSJ
Aeon Financial Service Co. Ltd.,,Consumer Finance,8570,XTKS,1WSJ
Aeon Hokkaido Corp.,,Mixed Retailing,7512,XTKS,1WSJ
Aeon Mall Co. Ltd.,,Real Estate Developers,8905,XTKS,1WSJ
Aeon REIT Investment Corp.,,Retail REITs,3292,XTKS,1WSJ
Agile Media Network Inc.,,Advertising/Marketing/Public Relations,6573,XTKS,1WSJ
Agratio Urban Design Inc.,,Real Estate Developers,3467,XTKS,1WSJ
Agro-Kanesho Co. Ltd.,,Chemicals,4955,XTKS,1WSJ
Ahjikan Co. Ltd.,,Food Products,2907,XTKS,1WSJ
Ahresty Corp.,,Motor Vehicle Parts,5852,XTKS,1WSJ
Ai Holdings Corp.,,Computers/Consumer Electronics,3076,XTKS,1WSJ
Ai Partners Financial Inc.,,Investment Advisors,7345,XTKS,1WSJ
Aica Kogyo Co. Ltd.,,Building Materials/Products,4206,XTKS,1WSJ
Aichi Bank,株式会社愛知銀行,,8527,,2WIKI
Aichi Corp.,,Mobile Machinery,6345,XTKS,1WSJ
Aichi Electric Co. Ltd.,,Industrial Electronics,6623,XNGO,1WSJ
Aichi Steel,愛知製鋼株式会社,,5482,,2WIKI
Aichi Tokei Denki Co. Ltd.,,Precision Products,7723,XTKS,1WSJ
Aida Engineering Ltd.,,Industrial Machinery,6118,XTKS,1WSJ
Aidma Holdings Inc.,,Internet/Online,7373,XTKS,1WSJ
Aidma Marketing Communication Corp.,,Advertising/Marketing/Public Relations,9466,XTKS,1WSJ
Aiful,アイフル株式会社,,8515,,2WIKI
Aigan Co. Ltd.,,Specialty Retail,9854,XTKS,1WSJ
Aimechatec Ltd.,,Industrial Electronics,6227,XTKS,1WSJ
Aiming Inc.,,Toys & Games,3911,XTKS,1WSJ
Ain Holdings Inc.,,Drug Retail,9627,XTKS,1WSJ
Aiphone Co. Ltd.,,Precision Products,6718,XTKS,1WSJ
Air Water Inc.,,Chemicals,4088,XTKS,1WSJ
AirTrip Corp.,,Tourism,6191,XTKS,1WSJ
Airport Facilities Co. Ltd.,,Real Estate Developers,8864,XTKS,1WSJ
Airtech Japan Ltd.,,Building Materials/Products,6291,XTKS,1WSJ
Aisan Industry Co. Ltd.,,Motor Vehicle Parts,7283,XTKS,1WSJ
Aisin Corp.,,Motor Vehicle Parts,7259,XTKS,1WSJ
Aizawa Securities Group Co. Ltd.,,Securities,8708,XTKS,1WSJ
Ajinomoto,味の素株式会社,,2802,,2WIKI
Akasaka Diesels Ltd.,,Industrial Machinery,6022,XTKS,1WSJ
Akatsuki Corp.,,Securities,8737,XTKS,1WSJ
Akatsuki Inc.,,Toys & Games,3932,XTKS,1WSJ
Akebono Brake Industry,曙ブレーキ工業株式会社,,7238,,2WIKI
Akita Bank,株式会社秋田銀行,,8343,,2WIKI
Albert Inc.,,Advertising/Marketing/Public Relations,3906,XTKS,1WSJ
Albis Co. Ltd.,,Food Retail,7475,XTKS,1WSJ
Alconix Corp.,,Non-Ferrous Metals,3036,XTKS,1WSJ
Alfresa Holdings Corp.,,Pharmaceuticals,2784,XTKS,1WSJ
Alinco Inc.,,Building Materials/Products,5933,XTKS,1WSJ
Alleanza Holdings Co. Ltd.,,Home Goods Retail,3546,XTKS,1WSJ
Allied Architects Inc.,,Advertising/Marketing/Public Relations,6081,XTKS,1WSJ
Allied Telesis,アライドテレシスホールディングス株式会社,,6835,,2WIKI
Almedio Inc.,,Computers/Consumer Electronics,7859,XTKS,1WSJ
Almetax Manufacturing Co. Ltd.,,Building Materials/Products,5928,XTKS,1WSJ
Alpen Co. Ltd.,,Specialty Retail,3028,XTKS,1WSJ
Alpha Systems Inc.,,Building Materials/Products,4719,XTKS,1WSJ
AlphaPolis Co. Ltd.,,Publishing,9467,XTKS,1WSJ
Alphax Food System Co. Ltd.,,Computer Services,3814,XJAS,1WSJ
Alpine Electronics,アルパイン株式会社,,6816,,2WIKI
Alps Alpine Co. Ltd.,,Industrial Electronics,6770,XTKS,1WSJ
Alps Logistics Co. Ltd.,,Transportation Services,9055,XTKS,1WSJ
AltPlusInc.,,Toys & Games,3672,XTKS,1WSJ
Altech Co. Ltd.,,Wholesalers,9972,XTKS,1WSJ
Altech Corp.,,Employment/Training Services,4641,XTKS,1WSJ
Alue Co. Ltd.,,Employment/Training Services,7043,XTKS,1WSJ
Amada Co. Ltd.,,Industrial Machinery,6113,XTKS,1WSJ
Amana Inc.,,Publishing,2402,XTKS,1WSJ
Amano Corp.,,Software,6436,XTKS,1WSJ
Amatei Inc.,,Industrial Products,5952,XTKS,1WSJ
Amaze Co. Ltd.,,Hotels,6076,XFKA,1WSJ
Amazia Inc.,,Publishing,4424,XTKS,1WSJ
Ambition DX Holdings Co. Ltd.,,Real Estate Developers,3300,XTKS,1WSJ
AmidA Holdings Co. Ltd.,,Internet/Online,7671,XTKS,1WSJ
Amita Holdings Co. Ltd.,,Environment/Waste Management,2195,XJAS,1WSJ
Amiya Corp.,,Software,4258,XTKS,1WSJ
Amiyaki Tei Co. Ltd.,,Restaurants,2753,XTKS,1WSJ
Amuse Inc.,,Employment/Training Services,4301,XTKS,1WSJ
AnGes Inc.,,Biotechnology,4563,XTKS,1WSJ
Anabuki Kosan Inc.,,Real Estate Developers,8928,XTKS,1WSJ
Anicom Holdings Inc.,,Non-Life Insurance,8715,XTKS,1WSJ
Anrakutei Co. Ltd.,,Restaurants,7562,XTKS,1WSJ
Anritsu,アンリツ株式会社,,6754,,2WIKI
Anshin Guarantor Service Co. Ltd.,,Non-Life Insurance,7183,XTKS,1WSJ
Aohata Corp.,,Food Products,2830,XTKS,1WSJ
Aoi Electronics Co. Ltd.,,Semiconductors,6832,XTKS,1WSJ
Aoki Holdings Inc.,,Clothing Retail,8214,XTKS,1WSJ
Aomori Bank,株式会社青森銀行,,8342,,2WIKI
Aoyama Zaisan Networks Co. Ltd.,,Real Estate Developers,8929,XTKS,1WSJ
Aozora Bank,あおぞら銀行,,8304,,2WIKI
Aplix Corp.,,Software,3727,XTKS,1WSJ
AppBank Inc.,,Toys & Games,6177,XTKS,1WSJ
Appier Group Inc.,,Emerging Technologies,4180,XTKS,1WSJ
Apple International Co. Ltd.,,Specialty Retail,2788,XTKS,1WSJ
Applied Co. Ltd.,,Computers/Consumer Electronics,3020,XJAS,1WSJ
Aqualine Ltd.,,Construction,6173,XTKS,1WSJ
Arakawa Chemical Industries Ltd.,,Chemicals,4968,XTKS,1WSJ
Arata Corp.,,Wholesalers,2733,XTKS,1WSJ
Araya Industrial Co. Ltd.,,Iron/Steel,7305,XTKS,1WSJ
ArcLand Sakamoto Co. Ltd.,,Home Goods Retail,9842,XTKS,1WSJ
Architects Studio Japan Inc.,,Construction,6085,XTKS,1WSJ
Arcland Service Holdings Co. Ltd.,,Restaurants,3085,XTKS,1WSJ
Arcs Co. Ltd.,,Food Retail,9948,XTKS,1WSJ
Ardepro Co. Ltd.,,Real Estate Developers,8925,XTKS,1WSJ
Area Quest Inc.,,Real Estate Developers,8912,XTKS,1WSJ
Arealink Co. Ltd.,,Transportation Services,8914,XTKS,1WSJ
Argo Graphics Inc.,,Computer Services,7595,XTKS,1WSJ
Ariake Japan Co. Ltd.,,Food Products,2815,XTKS,1WSJ
Arisawa Manufacturing Co. Ltd.,,Industrial Products,5208,XTKS,1WSJ
ArkCore Inc.,,Specialty Retail,3384,XNGO,1WSJ
Arr Planner Co. Ltd.,,Residential Building Construction,2983,XTKS,1WSJ
ArtGreen Co. Ltd.,,Farming,3419,XNGO,1WSJ
ArtSpark Holdings Inc.,,Software,3663,XTKS,1WSJ
Arteria Networks Corp.,,Networking,4423,XTKS,1WSJ
Artiza Networks Inc.,,Networking,6778,XTKS,1WSJ
Artnature Inc.,,Personal Care Products/Appliances,7823,XTKS,1WSJ
Artner Co. Ltd.,,Employment/Training Services,2163,XTKS,1WSJ
Artra Group Corp.,,Healthcare Provision,6029,XTKS,1WSJ
Aruhi Corp.,,Mortgages,7198,XTKS,1WSJ
Aruze,アルゼ株式会社,,6425,,2WIKI
As One Corp.,,Wholesalers,7476,XTKS,1WSJ
Asagami Corp.,,Transportation Services,9311,XTKS,1WSJ
Asahi Breweries,アサヒビール株式会社,,2502,,2WIKI
Asahi Broadcasting Group Holdings Corp.,,Broadcasting,9405,XTKS,1WSJ
Asahi Co. Ltd.,,Specialty Retail,3333,XTKS,1WSJ
Asahi Concrete Works Co. Ltd.,,Building Materials/Products,5268,XTKS,1WSJ
Asahi Diamond Industrial Co. Ltd.,,Industrial Machinery,6140,XTKS,1WSJ
Asahi Eito Co. Ltd.,,Building Materials/Products,5341,XTKS,1WSJ
Asahi Holdings Inc.,,Precious Metals,5857,XTKS,1WSJ
Asahi Intecc Co. Ltd.,,Medical Equipment/Supplies,7747,XTKS,1WSJ
Asahi Intelligence Service Co. Ltd.,,Computer Services,9799,XTKS,1WSJ
Asahi Kasei,旭化成株式会社,,3407,,2WIKI
Asahi Kogyosha Co. Ltd.,,Construction,1975,XTKS,1WSJ
Asahi Printing Co. Ltd.,,Containers/Packaging,3951,XTKS,1WSJ
Asahi Yukizai Corp.,,Building Materials/Products,4216,XTKS,1WSJ
Asahi-Seiki Manufacturing Co. Ltd.,,Industrial Products,6111,XNGO,1WSJ
Asahimatsu Foods Co. Ltd.,,Food Products,2911,XTKS,1WSJ
Asahipen Corp.,,Building Materials/Products,4623,XTKS,1WSJ
Asaka Industrial Co. Ltd.,,Housewares,5962,XTKS,1WSJ
Asaka Riken Co. Ltd.,,Environment/Waste Management,5724,XJAS,1WSJ
Asante Inc.,,General Services,6073,XTKS,1WSJ
Asanuma Corp.,,Construction,1852,XTKS,1WSJ
Asax Co. Ltd.,,Mortgages,8772,XTKS,1WSJ
Ascentech K.K.,,Internet/Online,3565,XTKS,1WSJ
Ascot Corp.,,Real Estate Developers,3264,XJAS,1WSJ
Aseed Holdings Co. Ltd.,,Food Retail,9959,XTKS,1WSJ
Ashimori Industry Co. Ltd.,,Industrial Products,3526,XTKS,1WSJ
Asia Air Survey Co. Ltd.,,Technical Services,9233,XTKS,1WSJ
Asia Development Capital Co. Ltd.,,Diversified Holding Companies,9318,XTKS,1WSJ
Asia Pile Holdings Corp.,,Building Materials/Products,5288,XTKS,1WSJ
AsiaQuest Co. Ltd.,,Emerging Technologies,4261,XTKS,1WSJ
Asics Corp.,,Clothing,7936,XTKS,1WSJ
Aska Corp.,,Motor Vehicle Parts,7227,XNGO,1WSJ
Askul Corp.,,Wholesalers,2678,XTKS,1WSJ
Asmo Corp.,,Food Retail,2654,XTKS,1WSJ
Astellas Pharma,アステラス製薬株式会社,,4503,,2WIKI
Astena Holdings Co. Ltd.,,Pharmaceuticals,8095,XTKS,1WSJ
Asteria Corp.,,Software,3853,XTKS,1WSJ
Asterisk Inc.,,Computers/Consumer Electronics,6522,XTKS,1WSJ
Asti Corp.,,Industrial Electronics,6899,XTKS,1WSJ
Asukanet Co. Ltd.,,Consumer Services,2438,XTKS,1WSJ
Ateam Inc.,,Toys & Games,3662,XTKS,1WSJ
Atled Corp.,,Software,3969,XTKS,1WSJ
Atom Corp.,,Restaurants,7412,XTKS,1WSJ
Atrae Inc.,,Employment/Training Services,6194,XTKS,1WSJ
Atsugi Co. Ltd.,,Clothing,3529,XTKS,1WSJ
AuBEX Corp.,,Clothing,3583,XTKS,1WSJ
Aucfan Co. Ltd.,,Internet/Online,3674,XTKS,1WSJ
Aucnet Inc.,,Mixed Retailing,3964,XTKS,1WSJ
Aun Consulting Inc.,,Advertising/Marketing/Public Relations,2459,XTKS,1WSJ
Autobacs Seven Co.,株式会社オートバックスセブン,,9832,,2WIKI
Avant Corp.,,Software,3836,XTKS,1WSJ
Avantia Co. Ltd.,,Residential Building Construction,8904,XTKS,1WSJ
Avex Group,エイベックス・グループ・ホールディングス株式会社,,7860,,2WIKI
Awa Bank Ltd.,,Banking,8388,XTKS,1WSJ
Axel Mark Inc.,,Toys & Games,3624,XTKS,1WSJ
Axell Corp.,,Semiconductors,6730,XTKS,1WSJ
Axial Retailing Inc.,,Food Retail,8255,XTKS,1WSJ
Axis Co. Ltd.,,Computer Services,4012,XTKS,1WSJ
Axxzia Inc.,,Personal Care Products/Appliances,4936,XTKS,1WSJ
Azbil Corp.,,Precision Products,6845,XTKS,1WSJ
Azearth Corp.,,Clothing,3161,XTKS,1WSJ
Azoom Co. Ltd.,,Real Estate Developers,3496,XTKS,1WSJ
Azuma Shipping Co. Ltd.,,Water Transport/Shipping,9380,XTKS,1WSJ
B&P Co. Ltd.,,Printing,7804,XTKS,1WSJ
B-Lot Co. Ltd.,,Real Estate Developers,3452,XTKS,1WSJ
BANDAI NAMCO Holdings Inc.,,Toys & Games,7832,XTKS,1WSJ
BASE Inc.,,Software,4477,XTKS,1WSJ
BCC Co. Ltd.,,Computer Services,7376,XTKS,1WSJ
BEENOS Inc.,,Mixed Retailing,3328,XTKS,1WSJ
BML Inc.,,Healthcare Provision,4694,XTKS,1WSJ
BP Castrol K.K.,,Chemicals,5015,XTKS,1WSJ
BRUNO Inc.,,Home Goods Retail,3140,XJAS,1WSJ
Balmuda Inc.,,Housewares,6612,XTKS,1WSJ
Balnibarbi Co. Ltd.,,Restaurants,3418,XTKS,1WSJ
Bando Chemical Industries Ltd.,,Industrial Products,5195,XTKS,1WSJ
Bank of Innovation Inc.,,Toys & Games,4393,XTKS,1WSJ
Bank of Iwate,株式会社岩手銀行,,8345,,2WIKI
Bank of Japan,,Banking,8301,XTKS,1WSJ
Bank of Kochi Ltd.,,Banking,8416,XTKS,1WSJ
Bank of Kyoto Ltd.,,Banking,8369,XTKS,1WSJ
Bank of Nagoya Ltd.,,Banking,8522,XTKS,1WSJ
Bank of Saga Ltd.,,Banking,8395,XTKS,1WSJ
Bank of Toyama Ltd.,,Banking,8365,XTKS,1WSJ
Bank of Yokohama,横浜銀行,,8332,,2WIKI
Bank of the Ryukyus Ltd.,,Banking,8399,XTKS,1WSJ
Banners Co. Ltd.,,Specialty Retail,3011,XTKS,1WSJ
Baroque Japan Ltd.,,Clothing Retail,3548,XTKS,1WSJ
Base Co. Ltd.,,Software,4481,XTKS,1WSJ
Basis Corp.,,Construction,4068,XTKS,1WSJ
Baudroie Inc.,,Software,4413,XTKS,1WSJ
BayCurrent Consulting Inc.,,Diversified Business Services,6532,XTKS,1WSJ
BeNEXT-Yumeshin Group Co.,,Employment/Training Services,2154,XTKS,1WSJ
Beaglee Inc.,,Motion Picture/Sound Recording,3981,XTKS,1WSJ
Beat Holdings Ltd.,,Publishing,9399,XTKS,1WSJ
Beauty Garage Inc.,,Diversified Business Services,3180,XTKS,1WSJ
Beauty Kadan Co. Ltd.,,Specialty Retail,3041,XTKS,1WSJ
Being Holdings Co. Ltd.,,Transportation Services,9145,XTKS,1WSJ
Belc Co. Ltd.,,Food Retail,9974,XTKS,1WSJ
Bellsystem24 Holdings Inc.,,Diversified Business Services,6183,XTKS,1WSJ
Belluna Co. Ltd.,,Mixed Retailing,9997,XTKS,1WSJ
Benefit Japan Co. Ltd.,,Internet/Online,3934,XTKS,1WSJ
Benefit One Inc.,,Employment/Training Services,2412,XTKS,1WSJ
Bengo4.com Inc.,,Internet/Online,6027,XTKS,1WSJ
Berg Earth Co. Ltd.,,Farming,1383,XJAS,1WSJ
Besterra Co. Ltd.,,Construction,1433,XTKS,1WSJ
Bestone.com Co. Ltd.,,Tourism,6577,XTKS,1WSJ
Betrend Corp.,,Software,4020,XTKS,1WSJ
Bic Camera Inc.,,Home Goods Retail,3048,XTKS,1WSJ
Bike O & Co. Ltd.,,Specialty Retail,3377,XTKS,1WSJ
Biken Techno Corp.,,Diversified Business Services,9791,XTKS,1WSJ
Billing System Corp.,,Consumer Finance,3623,XTKS,1WSJ
Birdman Inc.,,Advertising/Marketing/Public Relations,7063,XTKS,1WSJ
BlueMeme Inc.,,Computer Services,4069,XTKS,1WSJ
Bookoff Group Holdings Ltd.,,Specialty Retail,9278,XTKS,1WSJ
Bourbon Corp.,,Food Products,2208,XTKS,1WSJ
Boutiques Inc.,,Advertising/Marketing/Public Relations,9272,XTKS,1WSJ
Bplats Inc.,,Internet/Online,4381,XTKS,1WSJ
Br. Holdings Corp.,,Construction,1726,XTKS,1WSJ
BrainPad Inc.,,Advertising/Marketing/Public Relations,3655,XTKS,1WSJ
Brains Technology Inc.,,Emerging Technologies,4075,XTKS,1WSJ
Branding Engineer Co. Ltd.,,Employment/Training Services,7352,XTKS,1WSJ
Branding Technology Inc.,,Advertising/Marketing/Public Relations,7067,XTKS,1WSJ
Brangista.Inc,,Publishing,6176,XTKS,1WSJ
Brass Corp.,,Consumer Services,2424,XTKS,1WSJ
Bridge International Corp.,,Diversified Business Services,7039,XTKS,1WSJ
Bridgestone,株式会社ブリヂストン,,5108,,2WIKI
BrightPath Biotherapeutics Co. Ltd.,,Biotechnology,4594,XTKS,1WSJ
Broad Enterprise Co. Ltd.,,Internet/Online,4415,XTKS,1WSJ
Broadleaf Co. Ltd.,,Computer Services,3673,XTKS,1WSJ
Bronco Billy Co. Ltd.,,Restaurants,3091,XTKS,1WSJ
Brother Industries,ブラザー工業株式会社,,6448,,2WIKI
Bull-Dog Sauce Co. Ltd.,,Food Products,2804,XTKS,1WSJ
Bunka Shutter Co. Ltd.,,Building Materials/Products,5930,XTKS,1WSJ
Bunkeido Co. Ltd.,,Publishing,9471,XNGO,1WSJ
Bushiroad Inc.,,Toys & Games,7803,XTKS,1WSJ
Business Brain Showa-Ota Inc.,,Diversified Business Services,9658,XTKS,1WSJ
Business Breakthrough Inc.,,Employment/Training Services,2464,XTKS,1WSJ
Business Engineering Corp.,,Software,4828,XTKS,1WSJ
Business One Holdings Inc.,,Real Estate Developers,4827,XFKA,1WSJ
BuySell Technologies Co. Ltd.,,Specialty Retail,7685,XTKS,1WSJ
C&G Systems Inc.,,Software,6633,XTKS,1WSJ
C'Bon Cosmetics Co. Ltd.,,Personal Care Products/Appliances,4926,XTKS,1WSJ
C'sMEN Co. Ltd.,,Clothing Retail,3083,XJAS,1WSJ
C. Uyemura & Co. Ltd.,,Chemicals,4966,XTKS,1WSJ
C.E. Management Integrated Laboratory Co. Ltd.,,Construction,6171,XTKS,1WSJ
C.I. Takiron Corp.,,Building Materials/Products,4215,XTKS,1WSJ
CAC Holdings Corp.,,Computer Services,4725,XTKS,1WSJ
CAREERLINK Co. Ltd.,,Employment/Training Services,6070,XTKS,1WSJ
CDG Co. Ltd.,,Advertising/Marketing/Public Relations,2487,XTKS,1WSJ
CDS Co. Ltd.,,Computer Services,2169,XTKS,1WSJ
CE Holdings Co. Ltd.,,Computer Services,4320,XTKS,1WSJ
CHIC Holdings Inc.,,Real Estate Developers,7365,XTKS,1WSJ
CINC Corp.,,Computer Services,4378,XTKS,1WSJ
CK San-Etsu Co. Ltd.,,Non-Ferrous Metals,5757,XTKS,1WSJ
CKD Corp.,,Industrial Products,6407,XTKS,1WSJ
CL Holdings Inc.,,Advertising/Marketing/Public Relations,4286,XTKS,1WSJ
CMIC Holdings Co. Ltd.,,Healthcare Provision,2309,XTKS,1WSJ
CMK Corp.,,Industrial Electronics,6958,XTKS,1WSJ
CNS Co. Ltd.,,Advertising/Marketing/Public Relations,4076,XTKS,1WSJ
CONEXIO Corp.,,Home Goods Retail,9422,XTKS,1WSJ
COOKPAD Inc.,,Internet/Online,2193,XTKS,1WSJ
COSMOS Pharmaceutical Corp.,,Drug Retail,3349,XTKS,1WSJ
CRE Inc.,,Real Estate Developers,3458,XTKS,1WSJ
CRE Logistics REIT Inc.,,Industrial/Office REITs,3487,XTKS,1WSJ
CRG Holdings Co. Ltd.,,Employment/Training Services,7041,XTKS,1WSJ
CRI Middleware Co. Ltd.,,Software,3698,XTKS,1WSJ
CROOZ Inc.,,Clothing Retail,2138,XJAS,1WSJ
CS-C.Co. Ltd.,,Internet/Online,9258,XTKS,1WSJ
CTI Engineering Co. Ltd.,,Technical Services,9621,XTKS,1WSJ
CTS Co. Ltd.,,Construction,4345,XTKS,1WSJ
CVS Bay Area Inc.,,Food Retail,2687,XTKS,1WSJ
CYND Co. Ltd.,,Internet/Online,4256,XTKS,1WSJ
Cacco Inc.,,Internet/Online,4166,XTKS,1WSJ
Calbee Inc.,,Food Products,2229,XTKS,1WSJ
Calsonic Kansei Corporation,カルソニックカンセイ株式会社,,7248,,2WIKI
Can Do Co. Ltd.,,Mixed Retailing,2698,XTKS,1WSJ
CanBas Co. Ltd.,,Pharmaceuticals,4575,XTKS,1WSJ
Canadian Solar Infrastructure Fund Inc.,,Mutual & Other Funds,9284,XTKS,1WSJ
Canare Electric Co. Ltd.,,Industrial Electronics,5819,XTKS,1WSJ
Candeal Co. Ltd.,,Construction,1446,XTKS,1WSJ
Canon,キヤノン株式会社,,7751,,2WIKI
Canon Electronics Inc.,,Computers/Consumer Electronics,7739,XTKS,1WSJ
Canon Marketing Japan Inc.,,Wholesalers,8060,XTKS,1WSJ
Canox Corp.,,Iron/Steel,8076,XNGO,1WSJ
Capcom,株式会社カプコン,,9697,,2WIKI
Capital Asset Planning Inc.,,Software,3965,XTKS,1WSJ
Carchs Holdings Co. Ltd.,,Specialty Retail,7602,XTKS,1WSJ
Care Service Co. Ltd.,,Healthcare Provision,2425,XTKS,1WSJ
CareNet Inc.,,Publishing,2150,XTKS,1WSJ
Career Bank Co. Ltd.,,Employment/Training Services,4834,XSAP,1WSJ
Career Co. Ltd.,,Employment/Training Services,6198,XTKS,1WSJ
Career Design Center Co. Ltd.,,Publishing,2410,XTKS,1WSJ
CareerIndex Inc.,,Employment/Training Services,6538,XTKS,1WSJ
Carlit Holdings Co. Ltd.,,Chemicals,4275,XTKS,1WSJ
Carna Biosciences Inc.,,Pharmaceuticals,4572,XJAS,1WSJ
Carta Holdings Inc.,,Advertising/Marketing/Public Relations,3688,XTKS,1WSJ
Casa Inc.,,Real Estate Developers,7196,XTKS,1WSJ
Casio,カシオ計算機株式会社,,6952,,2WIKI
Cave,株式会社ケイブ,,3760,,2WIKI
Cawachi Ltd.,,Drug Retail,2664,XTKS,1WSJ
CellSource Co. Ltd.,,Biotechnology,4880,XTKS,1WSJ
Cellseed Inc.,,Biotechnology,7776,XJAS,1WSJ
Cemedine Co. Ltd.,,Chemicals,4999,XTKS,1WSJ
Central Automotive Products Ltd.,,Wholesalers,8117,XTKS,1WSJ
Central Forest Group Inc.,,Food Retail,7675,XNGO,1WSJ
Central General Development Co. Ltd.,,Real Estate Developers,3238,XTKS,1WSJ
Central Glass Co. Ltd.,,Industrial Products,4044,XTKS,1WSJ
Central Japan Railway Co.,,Railroads,9022,XTKS,1WSJ
Central Security Patrols Co. Ltd.,,General Services,9740,XTKS,1WSJ
Central Sports Co. Ltd.,,Recreational Services,4801,XTKS,1WSJ
Ceres Inc.,,Advertising/Marketing/Public Relations,3696,XTKS,1WSJ
Change Inc.,,Employment/Training Services,3962,XTKS,1WSJ
Charle Co. Ltd.,,Clothing Retail,9885,XTKS,1WSJ
Charm Care Corp.,,Healthcare Provision,6062,XTKS,1WSJ
Chatwork Co. Ltd.,,Software,4448,XTKS,1WSJ
Chemipro Kasei Kaisha Ltd.,,Chemicals,4960,XTKS,1WSJ
Chiba Bank,株式会社千葉銀行,,8331,,2WIKI
Chiba Kogyo Bank Ltd.,,Banking,8337,XTKS,1WSJ
Chiikishinbunsha Co. Ltd.,,Publishing,2164,XJAS,1WSJ
Chikaranomoto Holdings Co. Ltd.,,Restaurants,3561,XTKS,1WSJ
Chikuho Bank Ltd.,,Banking,8398,XFKA,1WSJ
