Name,TSE,Exchange,Industry
Akebono Brake Industry Co. Ltd.,7238,XTKS,Motor Vehicle Parts
Akita Bank Ltd.,8343,XTKS,Banking
Albert Inc.,3906,XTKS,Advertising/Marketing/Public Relations
Albis Co. Ltd.,7475,XTKS,Food Retail
Alconix Corp.,3036,XTKS,Non-Ferrous Metals
Alfresa Holdings Corp.,2784,XTKS,Pharmaceuticals
Alinco Inc.,5933,XTKS,Building Materials/Products
ALiNK Internet Inc.,7077,XTKS,Software
Alleanza Holdings Co. Ltd.,3546,XTKS,Home Goods Retail
Allied Architects Inc.,6081,XTKS,Advertising/Marketing/Public Relations
Allied Telesis Holdings K.K.,6835,XTKS,Networking
Almedio Inc.,7859,XTKS,Computers/Consumer Electronics
Almetax Manufacturing Co. Ltd.,5928,XTKS,Building Materials/Products
Alpen Co. Ltd.,3028,XTKS,Specialty Retail
ALPHA Corp.,3434,XTKS,Motor Vehicle Parts
Alpha Systems Inc.,4719,XTKS,Building Materials/Products
AlphaPolis Co. Ltd.,9467,XTKS,Publishing
Alphax Food System Co. Ltd.,3814,XJAS,Computer Services
Alps Alpine Co. Ltd.,6770,XTKS,Industrial Electronics
Alps Logistics Co. Ltd.,9055,XTKS,Transportation Services
Altech Co. Ltd.,9972,XTKS,Wholesalers
Altech Corp.,4641,XTKS,Employment/Training Services
AltPlusInc.,3672,XTKS,Toys & Games
Alue Co. Ltd.,7043,XTKS,Employment/Training Services
Amada Co. Ltd.,6113,XTKS,Industrial Machinery
AMAGASA Co. Ltd.,3070,XJAS,Clothing Retail
Amana Inc.,2402,XTKS,Publishing
Amano Corp.,6436,XTKS,Software
Amatei Inc.,5952,XTKS,Industrial Products
Amaze Co. Ltd.,6076,XFKA,Hotels
Amazia Inc.,4424,XTKS,Publishing
Ambition DX Holdings Co. Ltd.,3300,XTKS,Real Estate Developers
AMG Holdings Co. Ltd.,8891,XTKS,Real Estate Developers
AmidA Holdings Co. Ltd.,7671,XTKS,Internet/Online
Amita Holdings Co. Ltd.,2195,XJAS,Environment/Waste Management
Amiya Corp.,4258,XTKS,Software
Amiyaki Tei Co. Ltd.,2753,XTKS,Restaurants
Amuse Inc.,4301,XTKS,Employment/Training Services
ANA Holdings Inc.,9202,XTKS,Passenger Airlines
Anabuki Kosan Inc.,8928,XTKS,Real Estate Developers
and factory Inc.,7035,XTKS,Software
Anest Iwata Corp.,6381,XTKS,Industrial Machinery
AnGes Inc.,4563,XTKS,Biotechnology
Anicom Holdings Inc.,8715,XTKS,Non-Life Insurance
Anrakutei Co. Ltd.,7562,XTKS,Restaurants
Anritsu Corp.,6754,XTKS,Precision Products
Anshin Guarantor Service Co. Ltd.,7183,XTKS,Non-Life Insurance
Aohata Corp.,2830,XTKS,Food Products
Aoi Electronics Co. Ltd.,6832,XTKS,Semiconductors
Aoki Holdings Inc.,8214,XTKS,Clothing Retail
Aomori Bank Ltd.,8342,XTKS,Banking
Aoyama Zaisan Networks Co. Ltd.,8929,XTKS,Real Estate Developers
Aozora Bank Ltd.,8304,XTKS,Banking
AP Holdings Co. Ltd.,3175,XTKS,Restaurants
Aplix Corp.,3727,XTKS,Software
AppBank Inc.,6177,XTKS,Toys & Games
Appier Group Inc.,4180,XTKS,Emerging Technologies
Apple International Co. Ltd.,2788,XTKS,Specialty Retail
Applied Co. Ltd.,3020,XJAS,Computers/Consumer Electronics
Aqualine Ltd.,6173,XTKS,Construction
Arakawa Chemical Industries Ltd.,4968,XTKS,Chemicals
arara inc.,4015,XTKS,Software
Arata Corp.,2733,XTKS,Wholesalers
Araya Industrial Co. Ltd.,7305,XTKS,Iron/Steel
Architects Studio Japan Inc.,6085,XTKS,Construction
ArcLand Sakamoto Co. Ltd.,9842,XTKS,Home Goods Retail
Arcland Service Holdings Co. Ltd.,3085,XTKS,Restaurants
Arcs Co. Ltd.,9948,XTKS,Food Retail
Ardepro Co. Ltd.,8925,XTKS,Real Estate Developers
Area Quest Inc.,8912,XTKS,Real Estate Developers
Arealink Co. Ltd.,8914,XTKS,Transportation Services
Argo Graphics Inc.,7595,XTKS,Computer Services
Ariake Japan Co. Ltd.,2815,XTKS,Food Products
Arisawa Manufacturing Co. Ltd.,5208,XTKS,Industrial Products
ArkCore Inc.,3384,XNGO,Specialty Retail
Arr Planner Co. Ltd.,2983,XTKS,Residential Building Construction
Arteria Networks Corp.,4423,XTKS,Networking
ArtGreen Co. Ltd.,3419,XNGO,Farming
Artiza Networks Inc.,6778,XTKS,Networking
Artnature Inc.,7823,XTKS,Personal Care Products/Appliances
Artner Co. Ltd.,2163,XTKS,Employment/Training Services
Artra Group Corp.,6029,XTKS,Healthcare Provision
ArtSpark Holdings Inc.,3663,XTKS,Software
Aruhi Corp.,7198,XTKS,Mortgages
As One Corp.,7476,XTKS,Wholesalers
Asagami Corp.,9311,XTKS,Transportation Services
Asahi Broadcasting Group Holdings Corp.,9405,XTKS,Broadcasting
Asahi Co. Ltd.,3333,XTKS,Specialty Retail
Asahi Concrete Works Co. Ltd.,5268,XTKS,Building Materials/Products
Asahi Diamond Industrial Co. Ltd.,6140,XTKS,Industrial Machinery
Asahi Eito Co. Ltd.,5341,XTKS,Building Materials/Products
Asahi Group Holdings Ltd.,2502,XTKS,Alcoholic Beverages/Drinks
Asahi Holdings Inc.,5857,XTKS,Precious Metals
Asahi Intecc Co. Ltd.,7747,XTKS,Medical Equipment/Supplies
Asahi Intelligence Service Co. Ltd.,9799,XTKS,Computer Services
Asahi Kasei Corp.,3407,XTKS,Chemicals
Asahi Kogyosha Co. Ltd.,1975,XTKS,Construction
ASAHI Net Inc.,3834,XTKS,Internet/Online
Asahi Printing Co. Ltd.,3951,XTKS,Containers/Packaging
Asahi Yukizai Corp.,4216,XTKS,Building Materials/Products
Asahimatsu Foods Co. Ltd.,2911,XTKS,Food Products
Asahipen Corp.,4623,XTKS,Building Materials/Products
Asahi-Seiki Manufacturing Co. Ltd.,6111,XNGO,Industrial Products
Asaka Industrial Co. Ltd.,5962,XTKS,Housewares
Asaka Riken Co. Ltd.,5724,XJAS,Environment/Waste Management
Asante Inc.,6073,XTKS,General Services
Asanuma Corp.,1852,XTKS,Construction
Asax Co. Ltd.,8772,XTKS,Mortgages
Ascentech K.K.,3565,XTKS,Internet/Online
Ascot Corp.,3264,XJAS,Real Estate Developers
Aseed Holdings Co. Ltd.,9959,XTKS,Food Retail
Ashimori Industry Co. Ltd.,3526,XTKS,Industrial Products
Asia Air Survey Co. Ltd.,9233,XTKS,Technical Services
Asia Development Capital Co. Ltd.,9318,XTKS,Diversified Holding Companies
Asia Pile Holdings Corp.,5288,XTKS,Building Materials/Products
AsiaQuest Co. Ltd.,4261,XTKS,Emerging Technologies
Asics Corp.,7936,XTKS,Clothing
ASIRO Inc.,7378,XTKS,General Services
ASJ Inc.,2351,XTKS,Internet/Online
Aska Corp.,7227,XNGO,Motor Vehicle Parts
ASKA Pharmaceutical Holdings Co. Ltd.,4886,XTKS,Pharmaceuticals
Askul Corp.,2678,XTKS,Wholesalers
ASMARQ Inc.,4197,XTKS,Advertising/Marketing/Public Relations
Asmo Corp.,2654,XTKS,Food Retail
Astellas Pharma Inc.,4503,XTKS,Pharmaceuticals
Astena Holdings Co. Ltd.,8095,XTKS,Pharmaceuticals
Asteria Corp.,3853,XTKS,Software
Asterisk Inc.,6522,XTKS,Computers/Consumer Electronics
Asti Corp.,6899,XTKS,Industrial Electronics
Asukanet Co. Ltd.,2438,XTKS,Consumer Services
Ateam Inc.,3662,XTKS,Toys & Games
atect Corp.,4241,XJAS,Chemicals
AT-Group Co. Ltd.,8293,XNGO,Specialty Retail
Atled Corp.,3969,XTKS,Software
Atom Corp.,7412,XTKS,Restaurants
Atrae Inc.,6194,XTKS,Employment/Training Services
Atsugi Co. Ltd.,3529,XTKS,Clothing
AuBEX Corp.,3583,XTKS,Clothing
Aucfan Co. Ltd.,3674,XTKS,Internet/Online
Aucnet Inc.,3964,XTKS,Mixed Retailing
Aun Consulting Inc.,2459,XTKS,Advertising/Marketing/Public Relations
Avant Corp.,3836,XTKS,Software
Avantia Co. Ltd.,8904,XTKS,Residential Building Construction
Avex Inc.,7860,XTKS,Motion Picture/Sound Recording
Awa Bank Ltd.,8388,XTKS,Banking
AWA Paper & Technological Co. Inc.,3896,XTKS,Paper/Pulp
Axel Mark Inc.,3624,XTKS,Toys & Games
Axell Corp.,6730,XTKS,Semiconductors
Axial Retailing Inc.,8255,XTKS,Food Retail
Axis Co. Ltd.,4012,XTKS,Computer Services
Axxzia Inc.,4936,XTKS,Personal Care Products/Appliances
Azbil Corp.,6845,XTKS,Precision Products
Azearth Corp.,3161,XTKS,Clothing
Azoom Co. Ltd.,3496,XTKS,Real Estate Developers
Azuma Shipping Co. Ltd.,9380,XTKS,Water Transport/Shipping
B&P Co. Ltd.,7804,XTKS,Printing
Balmuda Inc.,6612,XTKS,Housewares
Balnibarbi Co. Ltd.,3418,XTKS,Restaurants
BANDAI NAMCO Holdings Inc.,7832,XTKS,Toys & Games
Bando Chemical Industries Ltd.,5195,XTKS,Industrial Products
Bank of Innovation Inc.,4393,XTKS,Toys & Games
Bank of Iwate Ltd.,8345,XTKS,Banking
Bank of Japan,8301,XTKS,Banking
Bank of Kochi Ltd.,8416,XTKS,Banking
Bank of Kyoto Ltd.,8369,XTKS,Banking
Bank of Nagoya Ltd.,8522,XTKS,Banking
Bank of Saga Ltd.,8395,XTKS,Banking
Bank of the Ryukyus Ltd.,8399,XTKS,Banking
Bank of Toyama Ltd.,8365,XTKS,Banking
Banners Co. Ltd.,3011,XTKS,Specialty Retail
Baroque Japan Ltd.,3548,XTKS,Clothing Retail
Base Co. Ltd.,4481,XTKS,Software
BASE Inc.,4477,XTKS,Software
Basis Corp.,4068,XTKS,Construction
Baudroie Inc.,4413,XTKS,Software
BayCurrent Consulting Inc.,6532,XTKS,Diversified Business Services
bBreak Systems Co. Ltd.,3986,XTKS,Software
BCC Co. Ltd.,7376,XTKS,Computer Services
Beaglee Inc.,3981,XTKS,Motion Picture/Sound Recording
Beat Holdings Ltd.,9399,XTKS,Publishing
Beauty Garage Inc.,3180,XTKS,Diversified Business Services
Beauty Kadan Co. Ltd.,3041,XTKS,Specialty Retail
BEENOS Inc.,3328,XTKS,Mixed Retailing
Being Holdings Co. Ltd.,9145,XTKS,Transportation Services
Belc Co. Ltd.,9974,XTKS,Food Retail
Bellsystem24 Holdings Inc.,6183,XTKS,Diversified Business Services
Belluna Co. Ltd.,9997,XTKS,Mixed Retailing
Benefit Japan Co. Ltd.,3934,XTKS,Internet/Online
Benefit One Inc.,2412,XTKS,Employment/Training Services
BeNEXT-Yumeshin Group Co.,2154,XTKS,Employment/Training Services
Bengo4.com Inc.,6027,XTKS,Internet/Online
Berg Earth Co. Ltd.,1383,XJAS,Farming
Besterra Co. Ltd.,1433,XTKS,Construction
Bestone.com Co. Ltd.,6577,XTKS,Tourism
Betrend Corp.,4020,XTKS,Software
Bic Camera Inc.,3048,XTKS,Home Goods Retail
Bike O & Co. Ltd.,3377,XTKS,Specialty Retail
Biken Techno Corp.,9791,XTKS,Diversified Business Services
Billing System Corp.,3623,XTKS,Consumer Finance
Birdman Inc.,7063,XTKS,Advertising/Marketing/Public Relations
B-Lot Co. Ltd.,3452,XTKS,Real Estate Developers
BlueMeme Inc.,4069,XTKS,Computer Services
BML Inc.,4694,XTKS,Healthcare Provision
Bookoff Group Holdings Ltd.,9278,XTKS,Specialty Retail
Bourbon Corp.,2208,XTKS,Food Products
Boutiques Inc.,9272,XTKS,Advertising/Marketing/Public Relations
BP Castrol K.K.,5015,XTKS,Chemicals
Bplats Inc.,4381,XTKS,Internet/Online
Br. Holdings Corp.,1726,XTKS,Construction
BrainPad Inc.,3655,XTKS,Advertising/Marketing/Public Relations
Brains Technology Inc.,4075,XTKS,Emerging Technologies
Branding Engineer Co. Ltd.,7352,XTKS,Employment/Training Services
Branding Technology Inc.,7067,XTKS,Advertising/Marketing/Public Relations
Brangista.Inc,6176,XTKS,Publishing
Brass Corp.,2424,XTKS,Consumer Services
Bridge International Corp.,7039,XTKS,Diversified Business Services
Bridgestone Corp.,5108,XTKS,Tires
BrightPath Biotherapeutics Co. Ltd.,4594,XTKS,Biotechnology
Broad Enterprise Co. Ltd.,4415,XTKS,Internet/Online
Broadleaf Co. Ltd.,3673,XTKS,Computer Services
Bronco Billy Co. Ltd.,3091,XTKS,Restaurants
Brother Industries Ltd.,6448,XTKS,Computers/Consumer Electronics
BRUNO Inc.,3140,XJAS,Home Goods Retail
Bull-Dog Sauce Co. Ltd.,2804,XTKS,Food Products
Bunka Shutter Co. Ltd.,5930,XTKS,Building Materials/Products
Bunkeido Co. Ltd.,9471,XNGO,Publishing
Bushiroad Inc.,7803,XTKS,Toys & Games
Business Brain Showa-Ota Inc.,9658,XTKS,Diversified Business Services
Business Breakthrough Inc.,2464,XTKS,Employment/Training Services
Business Engineering Corp.,4828,XTKS,Software
Business One Holdings Inc.,4827,XFKA,Real Estate Developers
BuySell Technologies Co. Ltd.,7685,XTKS,Specialty Retail
C&G Systems Inc.,6633,XTKS,Software
C. Uyemura & Co. Ltd.,4966,XTKS,Chemicals
C.E. Management Integrated Laboratory Co. Ltd.,6171,XTKS,Construction
C.I. Takiron Corp.,4215,XTKS,Building Materials/Products
CAC Holdings Corp.,4725,XTKS,Computer Services
Cacco Inc.,4166,XTKS,Internet/Online
Calbee Inc.,2229,XTKS,Food Products
Can Do Co. Ltd.,2698,XTKS,Mixed Retailing
Canadian Solar Infrastructure Fund Inc.,9284,XTKS,Mutual & Other Funds
Canare Electric Co. Ltd.,5819,XTKS,Industrial Electronics
CanBas Co. Ltd.,4575,XTKS,Pharmaceuticals
Candeal Co. Ltd.,1446,XTKS,Construction
Canon Electronics Inc.,7739,XTKS,Computers/Consumer Electronics
Canon Inc.,7751,XTKS,Computers/Consumer Electronics
Canon Marketing Japan Inc.,8060,XTKS,Wholesalers
Canox Corp.,8076,XNGO,Iron/Steel
Capcom Co. Ltd.,9697,XTKS,Software
Capital Asset Planning Inc.,3965,XTKS,Software
Carchs Holdings Co. Ltd.,7602,XTKS,Specialty Retail
Care Service Co. Ltd.,2425,XTKS,Healthcare Provision
Career Bank Co. Ltd.,4834,XSAP,Employment/Training Services
Career Co. Ltd.,6198,XTKS,Employment/Training Services
Career Design Center Co. Ltd.,2410,XTKS,Publishing
CareerIndex Inc.,6538,XTKS,Employment/Training Services
CAREERLINK Co. Ltd.,6070,XTKS,Employment/Training Services
CareNet Inc.,2150,XTKS,Publishing
Carlit Holdings Co. Ltd.,4275,XTKS,Chemicals
Carna Biosciences Inc.,4572,XJAS,Pharmaceuticals
Carta Holdings Inc.,3688,XTKS,Advertising/Marketing/Public Relations
Casa Inc.,7196,XTKS,Real Estate Developers
Casio Computer Co. Ltd.,6952,XTKS,Computers/Consumer Electronics
Cawachi Ltd.,2664,XTKS,Drug Retail
C'Bon Cosmetics Co. Ltd.,4926,XTKS,Personal Care Products/Appliances
CDG Co. Ltd.,2487,XTKS,Advertising/Marketing/Public Relations
CDS Co. Ltd.,2169,XTKS,Computer Services
CE Holdings Co. Ltd.,4320,XTKS,Computer Services
Cellseed Inc.,7776,XJAS,Biotechnology
CellSource Co. Ltd.,4880,XTKS,Biotechnology
Cemedine Co. Ltd.,4999,XTKS,Chemicals
Central Automotive Products Ltd.,8117,XTKS,Wholesalers
Central Forest Group Inc.,7675,XNGO,Food Retail
Central General Development Co. Ltd.,3238,XTKS,Real Estate Developers
Central Glass Co. Ltd.,4044,XTKS,Industrial Products
Central Japan Railway Co.,9022,XTKS,Railroads
Central Security Patrols Co. Ltd.,9740,XTKS,General Services
Central Sports Co. Ltd.,4801,XTKS,Recreational Services
Ceres Inc.,3696,XTKS,Advertising/Marketing/Public Relations
Change Inc.,3962,XTKS,Employment/Training Services
Charle Co. Ltd.,9885,XTKS,Clothing Retail
Charm Care Corp.,6062,XTKS,Healthcare Provision
Chatwork Co. Ltd.,4448,XTKS,Software
Chemipro Kasei Kaisha Ltd.,4960,XTKS,Chemicals
Chiba Bank Ltd.,8331,XTKS,Banking
Chiba Kogyo Bank Ltd.,8337,XTKS,Banking
CHIC Holdings Inc.,7365,XTKS,Real Estate Developers
Chiikishinbunsha Co. Ltd.,2164,XJAS,Publishing
Chikaranomoto Holdings Co. Ltd.,3561,XTKS,Restaurants
Chikuho Bank Ltd.,8398,XFKA,Banking
Chilled & Frozen Logistics Holdings Co. Ltd.,9099,XTKS,Trucking
Chimney Co. Ltd.,3178,XTKS,Restaurants
Chino Corp.,6850,XTKS,Precision Products
Chiome Bioscience Inc.,4583,XTKS,Biotechnology
Chita Kogyo Co. Ltd.,5993,XNGO,Motor Vehicle Parts
Chiyoda Co. Ltd.,8185,XTKS,Clothing Retail
Chiyoda Corp.,6366,XTKS,Construction
Chiyoda Integre Co. Ltd.,6915,XTKS,Audio/Video Equipment
Choei Inc.,2993,XTKS,Real Estate Developers
Chofu Seisakusho Co. Ltd.,5946,XTKS,Housewares
Chori Co. Ltd.,8014,XTKS,Clothing
Choushimaru Co. Ltd.,3075,XJAS,Restaurants
Chubu Electric Power Co. Inc.,9502,XTKS,Electric Utilities
Chubu Shiryo Co. Ltd.,2053,XTKS,Food Products
Chubu Steel Plate Co. Ltd.,5461,XNGO,Iron/Steel
Chubu Suisan Co. Ltd.,8145,XNGO,Food Retail
Chubu-Nippon Broadcasting Co. Ltd.,9402,XNGO,Broadcasting
Chuco Co. Ltd.,2139,XTKS,Publishing
Chudenko Corp.,1941,XTKS,Construction
Chuetsu Pulp & Paper Co. Ltd.,3877,XTKS,Paper/Pulp
Chugai Mining Co. Ltd.,1491,XTKS,Precious Metals
Chugai Pharmaceutical Co. Ltd.,4519,XTKS,Pharmaceuticals
Chugai Ro Co. Ltd.,1964,XTKS,Industrial Machinery
Chugoku Bank Ltd.,8382,XTKS,Banking
Chugoku Electric Power Co. Inc.,9504,XTKS,Electric Utilities
Chugoku Marine Paints Ltd.,4617,XTKS,Building Materials/Products
Chugokukogyo Co. Ltd.,5974,XTKS,Containers/Packaging
Chukyo Bank Ltd.,8530,XTKS,Banking
Chuo Build Industry Co. Ltd.,1971,XTKS,Building Materials/Products
Chuo Gyorui Co. Ltd.,8030,XTKS,Food Retail
Chuo Malleable Iron Co. Ltd.,5607,XNGO,Motor Vehicle Parts
Chuo Seisakusho Ltd.,6846,XNGO,Precision Products
Chuo Spring Co. Ltd.,5992,XTKS,Motor Vehicle Parts
Chuo Warehouse Co. Ltd.,9319,XTKS,Transportation Services
Chuoh Pack Industry Co. Ltd.,3952,XNGO,Containers/Packaging
CINC Corp.,4378,XTKS,Computer Services
Circulation Co. Ltd.,7379,XTKS,Diversified Business Services
Citizen Watch Co. Ltd.,7762,XTKS,Jewelry & Watches
CK San-Etsu Co. Ltd.,5757,XTKS,Non-Ferrous Metals
CKD Corp.,6407,XTKS,Industrial Products
CL Holdings Inc.,4286,XTKS,Advertising/Marketing/Public Relations
Cleanup Corp.,7955,XTKS,Housewares
Cluster Technology Co. Ltd.,4240,XJAS,Industrial Products
CMIC Holdings Co. Ltd.,2309,XTKS,Healthcare Provision
CMK Corp.,6958,XTKS,Industrial Electronics
CNS Co. Ltd.,4076,XTKS,Advertising/Marketing/Public Relations
Coca-Cola Bottlers Japan Holdings Inc.,2579,XTKS,Non-Alcoholic Beverages/Drinks
coconala Inc.,4176,XTKS,Employment/Training Services
Colan Totte Co. Ltd.,7792,XTKS,Medical Equipment/Supplies
Collabos Corp.,3908,XTKS,Diversified Business Services
Colopl Inc.,3668,XTKS,Toys & Games
Colowide Co. Ltd.,7616,XTKS,Restaurants
Coly Inc.,4175,XTKS,Toys & Games
Comany Inc.,7945,XTKS,Furniture
Comforia Residential REIT Inc.,3282,XTKS,Residential REITs
Cominix Co. Ltd.,3173,XTKS,Wholesalers
Commerce One Holdings Inc.,4496,XTKS,Internet/Online
CommSeed Corp.,3739,XNGO,Gambling Industries
Computer Engineering & Consulting Ltd.,9692,XTKS,Internet/Online
Computer Institute of Japan Ltd.,4826,XTKS,Software
Comsys Holdings Corp.,1721,XTKS,Construction
Comture Corp.,3844,XTKS,Internet/Online
Concordia Financial Group Ltd.,7186,XTKS,Banking
CONEXIO Corp.,9422,XTKS,Home Goods Retail
Confidence Inc.,7374,XTKS,Employment/Training Services
Contec Co. Ltd.,6639,XTKS,Precision Products
Convano Inc.,6574,XTKS,Consumer Services
Cookbiz Co. Ltd.,6558,XTKS,Employment/Training Services
COOKPAD Inc.,2193,XTKS,Internet/Online
Copa Corp. Inc.,7689,XTKS,Wholesalers
Copro Holdings Co. Ltd.,7059,XTKS,Employment/Training Services
Core Concept Technologies Inc.,4371,XTKS,Emerging Technologies
Core Corp.,2359,XTKS,Software
Corona Corp.,5909,XTKS,Housewares
Cosel Co. Ltd.,6905,XTKS,Industrial Electronics
Cosmo Energy Holdings Co. Ltd.,5021,XTKS,Major Oil & Gas
COSMOS Pharmaceutical Corp.,3349,XTKS,Drug Retail
Cota Co. Ltd.,4923,XTKS,Personal Care Products/Appliances
cotta Co. Ltd.,3359,XTKS,Food Products
CRE Inc.,3458,XTKS,Real Estate Developers
CRE Logistics REIT Inc.,3487,XTKS,Industrial/Office REITs
Create Corp.,3024,XJAS,Wholesalers
Create Medic Co. Ltd.,5187,XTKS,Medical Equipment/Supplies
create restaurants holdings inc.,3387,XTKS,Restaurants
Create SD Holdings Co. Ltd.,3148,XTKS,Drug Retail
Credit Saison Co. Ltd.,8253,XTKS,Finance Companies
Creek & River Co. Ltd.,4763,XTKS,Advertising/Marketing/Public Relations
Creema Ltd.,4017,XTKS,Mixed Retailing
Cresco Ltd.,4674,XTKS,Software
Crestec Inc.,7812,XTKS,Diversified Business Services
CRG Holdings Co. Ltd.,7041,XTKS,Employment/Training Services
CRI Middleware Co. Ltd.,3698,XTKS,Software
CROOZ Inc.,2138,XJAS,Clothing Retail
Crops Corp.,9428,XTKS,Home Goods Retail
Cross Cat Co. Ltd.,2307,XTKS,Software
Cross Marketing Group Inc.,3675,XTKS,Advertising/Marketing/Public Relations
Cross Plus Inc.,3320,XTKS,Clothing
Crowdworks Inc.,3900,XTKS,Employment/Training Services
CS-C.Co. Ltd.,9258,XTKS,Internet/Online
C'sMEN Co. Ltd.,3083,XJAS,Clothing Retail
CTI Engineering Co. Ltd.,9621,XTKS,Technical Services
CTS Co. Ltd.,4345,XTKS,Construction
Cube System Inc.,2335,XTKS,Computer Services
Curves Holdings Co. Ltd.,7085,XTKS,Recreational Services
CVS Bay Area Inc.,2687,XTKS,Food Retail
Cyber Com Co. Ltd.,3852,XTKS,Software
Cyber Security Cloud Inc.,4493,XTKS,Software
CyberAgent Inc.,4751,XTKS,Advertising/Marketing/Public Relations
CyberBuzz Inc.,7069,XTKS,Advertising/Marketing/Public Relations
Cyberdyne Inc.,7779,XTKS,Medical Equipment/Supplies
Cyberlinks Co. Ltd.,3683,XTKS,Software
Cybernet Systems Co. Ltd.,4312,XTKS,Software
